skill_id,profile_key,cast_vfx,reaction_vfx,terrain_vfx,finisher_vfx,visual_theme,visual_hook,visual_notes
10001,Fire_Lance,FireCastPulse,,ScorchField,,熔枪灼线,枪尖先亮后贯穿,弹道细长、命中后留下窄条焦痕
10002,Fire_Steam,FireCastPulse,SteamImpact,SteamField,,蒸汽灼印,命中时爆出白热蒸汽团,要求火焰芯和冰雾边缘同时可见
10003,Fire_Arc,FireCastPulse,ChainOverload,ScorchField,,弧焰牵引,火种命中后被电弧拖走,跳链之间保留燃烧残丝
10004,Fire_Execution,FireCastPulse,VerdictFlash,ScorchField,VerdictFlash,爆钉处决,铆钉插入后内爆,暴击时中心闪白后爆红
11001,Fire_Steam,FireCastPulse,SteamImpact,SteamField,,灼雾推进,火雾沿路推进,重视雾团层叠感和持续灼边
11002,Fire_Arc,FireCastPulse,ChainOverload,ScorchField,ChainOverload,链燃扩散,燃点在单位之间拖拽,每次跳跃都留短促火爆点
11003,Fire_Execution,FireCastPulse,VerdictFlash,ScorchField,VerdictFlash,炽核引爆,中心火核先收再炸,终结段需要有明显吸能感
11004,Fire_Steam,FireCastPulse,ChainOverload,SteamField,ChainOverload,热暴风带,蒸汽区内电火乱窜,地表层要比命中层更亮
11005,Fire_Execution,FireCastPulse,VerdictFlash,SteamField,VerdictFlash,碎锻裁切,慢速目标被火花切开,命中瞬间要有碎晶飞边
12001,Fire_Collapse,FireCastPulse,CollapseNova,CollapseField,CollapseNova,元素坍缩,整行被吸入同一点后爆开,重点表现吸积和扭曲
12002,Fire_Execution,FireCastPulse,VerdictFlash,ScorchField,CollapseNova,岩浆裁断,前摇蓄红后沿线斩落,终结爆环需像熔浆喷发
12003,Fire_Arc,FireCastPulse,ChainOverload,ScorchField,ChainOverload,日冕蓄爆,持续蓄电后连珠爆裂,爆点要形成连锁节奏
12004,Fire_Collapse,FireCastPulse,CollapseNova,CollapseField,CollapseNova,熔炉灾变,地表被熔炉化接管,地面环必须持续残留且颜色翻涌
20001,Ice_Ray,IceCastPulse,SteamImpact,SteamField,,熔霜融切,冷束包着热芯,射线主体冷色但中心带熔白
20002,Ice_Ray,IceCastPulse,,IceField,,霜脉压制,细束持续压住前排,命中点要有薄霜扩散
20003,Ice_Ray,IceCastPulse,ChainOverload,IceField,,极弧散逸,冰束末端分叉成寒电,分叉要比主束更短更亮
20004,Ice_Execution,IceCastPulse,,IceField,VerdictFlash,晶刺拦截,地面立起晶刺簇,爆裂时伴随白亮碎片
21001,Ice_Execution,IceCastPulse,PrisonPulse,IceField,VerdictFlash,冷脉骤停,冻结瞬间像快门定格,要求一帧明显白闪
21002,Ice_Prism,IceCastPulse,ChainOverload,IceField,ResonanceWall,极域网络,横向寒电织网,相邻目标之间出现棱镜折线
21003,Ice_Execution,IceCastPulse,,IceField,VerdictFlash,脆晶外壳,目标表面生成脆晶壳层,易伤时壳层边缘要发白
21004,Fire_Steam,IceCastPulse,SteamImpact,SteamField,CollapseNova,蒸压震荡,蒸汽区从尸体向外推开,强调体积感和地表残响
21005,Ice_Execution,IceCastPulse,VerdictFlash,IceField,VerdictFlash,晶狱裁决,火冰双标记同时爆裂,终结时碎晶向内回卷
22001,Ice_Collapse,IceCastPulse,CollapseNova,IceField,CollapseNova,白夜寒潮,整路冻结后雷痕蔓延,场面要先静止再爆发
22002,Ice_Execution,IceCastPulse,VerdictFlash,IceField,VerdictFlash,晶廷审判,高亮冰晶判决线,暴击链需要一段一段点亮
22003,Ice_Prism,IceCastPulse,ResonanceWall,IceField,ResonanceWall,棱镜冰墙,横向生成折光冰壁,墙体应有镜面和折射层
22004,Ice_Collapse,IceCastPulse,CollapseNova,SteamField,CollapseNova,零度崩解,状态被压缩成一点后炸碎,爆点边缘带冷白噪声
30001,Thunder_Arc,ThunderCastPulse,ChainOverload,ScorchField,,等离火种,火星被电链瞬间带走,拖尾要像细碎电丝
30002,Thunder_Arc,ThunderCastPulse,PrisonPulse,IceField,,冰雹电流,落点电花和冷雾同时扩张,强调脉冲层次
30003,Thunder_Storm,ThunderCastPulse,ChainOverload,IceField,,风暴继电,长链在多目标间快速抽打,节奏要密、尾迹要短
30004,Metal_Javelin,ThunderCastPulse,VerdictFlash,MetalField,VerdictFlash,轨电放逐,电矢穿出后留下轨迹,末端冲击应有短促白闪
31001,Thunder_Storm,ThunderCastPulse,ChainOverload,ScorchField,ChainOverload,雷炉爆链,爆炸把雷链再抛出去,反应段要比初击更亮
31002,Thunder_Arc,ThunderCastPulse,ChainOverload,IceField,ChainOverload,绝对电流,冰缓目标被更长链条锁住,链尾可以更细更冷
31003,Metal_Javelin,ThunderCastPulse,VerdictFlash,MetalField,VerdictFlash,充能破袭,最后一跳像重锤落下,末端暴击需要明显抬亮
31004,Thunder_Storm,ThunderCastPulse,ResonanceWall,SteamField,ResonanceWall,暴云雾场,同路形成雷雾脉冲带,用雾区承托链路
31005,Thunder_Prison,ThunderCastPulse,PrisonPulse,IceField,PrisonPulse,静电牢笼,命中后迅速收笼,囚笼轮廓需要清晰闭合
32001,Thunder_Storm,ThunderCastPulse,CollapseNova,ScorchField,CollapseNova,超胞回廊,多路雷暴同时扫描,要有云核翻滚感
32002,Thunder_Storm,ThunderCastPulse,VerdictFlash,ScorchField,ChainOverload,裂穹标记,标记后空中重复落雷,顶端闪击要比地面更亮
32003,Thunder_Prison,ThunderCastPulse,PrisonPulse,IceField,ResonanceWall,风暴囚笼,链接目标被锁在同一牢场,共享伤害时同步闪白
32004,Thunder_Bastion,ThunderCastPulse,ResonanceWall,MetalField,ResonanceWall,离子壁垒,上下行升起雷墙,墙体应有扫频感
40001,Metal_Stake,MetalCastPulse,VerdictFlash,ScorchField,VerdictFlash,爆燃桩击,地桩冲出带火星,刺中后留短促焦痕
40002,Metal_Mine,MetalCastPulse,PrisonPulse,IceField,PrisonPulse,永霜地雷,地雷起爆时先鼓再炸,冰雾沿地面扫开
40003,Metal_Javelin,MetalCastPulse,ChainOverload,MetalField,,导电脊枪,投枪命中后带出导电纹,枪体尾迹要干净利落
40004,Metal_Stake,MetalCastPulse,VerdictFlash,MetalField,VerdictFlash,断首钉桩,厚重桩体直上直下,命中时有切断感白闪
41001,Metal_Stake,MetalCastPulse,VerdictFlash,ScorchField,VerdictFlash,处刑爆破,处刑桩爆开周围热浪,爆炸核心要偏白
41002,Metal_Mine,MetalCastPulse,PrisonPulse,IceField,VerdictFlash,破冰裁断,消耗冰缓后放出晶波,晶波应有层层外扩
41003,Metal_Javelin,MetalCastPulse,ChainOverload,MetalField,ChainOverload,轨雷级联,暴击后金属轨迹继续跳链,链路和投枪要同向
41004,Metal_Mine,MetalCastPulse,SteamImpact,ScorchField,ScorchField,淬火合金,地表越热越亮,体现锻打后的回火光
41005,Metal_Javelin,MetalCastPulse,ResonanceWall,MetalField,ResonanceWall,超频穿枪,同行共鸣时枪体拉成长线,强调穿透一击
42001,Metal_Stake,MetalCastPulse,CollapseNova,ScorchField,CollapseNova,灾厄桩阵,整排地桩依次升起,节奏上要有连段推进
42002,Metal_Javelin,MetalCastPulse,ChainOverload,MetalField,VerdictFlash,雷断头台,处决后立刻跃迁下个目标,连续击杀时形成追斩感
42003,Metal_Bulwark,MetalCastPulse,PrisonPulse,IceField,ResonanceWall,绝对兵装,陷阱网逐格亮起,兵装连线要像战术网格
42004,Metal_Bulwark,MetalCastPulse,ResonanceWall,MetalField,ResonanceWall,共振壁垒,相邻行拼成整体护壁,横向能量面要稳定持续
