recipe_id,slot_count,core,recipe,name,combat_role,attack_pattern,synergy_logic,rule_mutation,status_tags,terrain_tags,resonance_tags,node_preset_id,graph_template_id,notes
10001,2,Fire,FI-FI,烈阳长枪,单路消耗,直线穿透,无,无,burn,scorch,row_focus,Preset_ImpactLane,Template_SolarLance,火核心标准单路输出
10002,2,Fire,FI-GL,蒸汽烙印,起手挂状态,高速投射,无,无,burn|chill,steam,row_focus,Preset_ImpactLane,Template_SteamBrand,同时附加灼烧与寒蚀标记
10003,2,Fire,FI-FU,弧焰火种,混合清线,命中弹跳,无,无,burn|conductive,scorch,row_chain,Preset_ConductiveChain,Template_ArcEmber,适合处理中量杂兵
10004,2,Fire,FI-AC,爆裂铆钉,精英斩杀,重型炮弹,无,无,burn|mark,scorch,row_focus,Preset_CritBranch,Template_DetonatorNail,配合暴击和引爆收益高
11001,3,Fire,FI-FI-GL,灼雾,持续伤害引擎,直线穿透,灼烧持续翻倍,无,burn|chill,steam,row_focus,Preset_StatusAmplify,Template_SearingMist,对高血量单位表现稳定
11002,3,Fire,FI-FI-FU,链燃,清杂爆发,命中弹跳,燃烧目标触发额外跳跃,无,burn|conductive,scorch,row_chain,Preset_ConductiveChain,Template_ChainIgnition,越密集越强
11003,3,Fire,FI-FI-AC,炽核爆裂,处决爆发,重型炮弹,暴击时立即引爆,无,burn|mark,scorch,row_focus,Preset_CritBranch,Template_KindledRupture,适合收残血精英
11004,3,Fire,FI-GL-FU,热暴风,地表联动,命中弹跳,冰面上链路范围增加,无,burn|chill|conductive,steam,row_resonance,Preset_RowResonance,Template_ThermalStorm,依赖冰面铺场
11005,3,Fire,FI-GL-AC,碎锻,破控收割,高速投射,对减速目标必暴击,无,burn|chill|mark,steam,row_focus,Preset_CritBranch,Template_ShatterForge,适合中后排爆发塔
12001,4,Fire,FI-FI-GL-FU,元素坍缩,终极清场,全行爆破,状态融合,整行清洗,burn|chill|conductive,scorch|steam,row_resonance,Preset_ElementCollapse,Template_ElementCollapse,火核心四槽主奥义
12002,4,Fire,FI-FI-GL-AC,岩浆裁断,终极处决,处决炮弹,燃烧阈值斩杀,整行处决,burn|mark,scorch,row_focus,Preset_ExecuteUltimate,Template_MagmaVerdict,对残血高威胁怪很强
12003,4,Fire,FI-FI-FU-AC,日冕蓄电,终极连爆,引爆连锁,同行返还能量,连环爆裂,burn|conductive|mark,scorch,row_chain,Preset_ChainUltimate,Template_CoronaBattery,适合高频爆炸构筑
